# captured=2026-09-19 startFrom=2025-09-19 minValue=5000000
228781 | DOT41032 | Shoulder Construction, Safety Barrier Installation and Associated Roadworks | 16 Dec 2025 | 6420677.95 | Department of Transport and Planning (DTP) | Construction Contracts | Highway and road construction services | Fulton Hogan Industries Pty Ltd | 54000538689
228780 | DOT41668 | Construction of overtaking lanes | 15 Dec 2025 | 8109596.92 | Department of Transport and Planning (DTP) | Construction Contracts | Highway and road construction services | Whelans Group Investments Pty Ltd | 83143750449
230473 | DOT41435 | Statewide Final Sealing of FY24-25 Stabilised Patching | 12 Dec 2025 | 7008764.35 | Department of Transport and Planning (DTP) | Construction Contracts | Roads and landscape | Primal Surfacing Pty Ltd | 38104667763
228557 | VN1000797 | Carrington Primary School (2023-24) - Stage 1 | 12 Dec 2025 | 6891430.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
228975 | VN1000737 | Melton South Primary School - Design and Construct Major Works Contract | 11 Dec 2025 | 14204286.05 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | Devco | 15007223332
228897 | 1036058 | Digital Assessment Tools | 10 Dec 2025 | 11998647.00 | Department of Education | Purchases of Goods/Services | Information Technology Broadcasting and Telecommunications | Australian Council for Educational Research | 19004398145
228526 | CONS-1893 | Dairy Supply Chain – Cobden-Stonyford Road Upgrade | 4 Dec 2025 | 7920139.41 | Major Road Projects Victoria | Construction Contracts | Highway and road new construction service | Whelans Group | 83143750449
228049 | POC-MCEC-EVSEC-0925 | Event Security Services | 1 Dec 2025 | 7500000.00 | Victorian Convention and Event Trust | Purchases of Goods/Services | National Defense and Public Order and Security and Safety Services | MSS Security Pty Ltd | 29100573966
229327 | CONTRACTSDECEMBER2025 | DFFH CAPITAL CONTRACT 1 DECEMBER TO 31 DECEMBER 2025 | 1 Dec 2025 | 65947022.90 | Department of Families, Fairness and Housing - Homes Victoria & Director of Housing | Construction Contracts | Building and Facility Construction and Maintenance Services | Department of Families, Fairness and Housing | 88139482080
229511 | CON30042 | Stage 3 – Penguin Parade Boardwalks & Viewing Stands Redevelopment Project - Con | 28 Nov 2025 | 7300000.00 | Phillip Island Nature Park Board of Management Inc | Construction Contracts | Building and Facility Construction and Maintenance Services | Simpson Construction Company Pty Ltd | 50006655376
229456 | PAB087/25-26 | Justice Transport Services Contract | 28 Nov 2025 | 100286585.30 | Department of Justice and Community Safety | Purchases of Goods/Services | Transportation and Storage and Mail Services | Serco | 44003677352
230475 | DOT41628 | Resurfacing of various roads | 26 Nov 2025 | 5255384.20 | Department of Transport and Planning (DTP) | Construction Contracts | Roads and landscape | Primal Surfacing Pty Ltd | 38104667763
228827 | 41535 | Construction of Cameron Street East Mains | 26 Nov 2025 | 11294498.00 | Yarra Valley Water | Construction Contracts | Water and sewer utilities | |
227548 | VN1000794 | Orchard Grove Primary School (2023-24) - Stage 1 | 25 Nov 2025 | 7450984.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
231948 | TAC-PA-000001859 | Applied Research Panel | 24 Nov 2025 | 10500000.00 | Transport Accident Commission | Purchases of Goods/Services | Management and Business Professionals and Administrative Services | Several suppliers |
227795 | RFQVN1000552 | Leongatha SC | 24 Nov 2025 | 8021145.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | TS Constructions Pty Ltd | 91068447610
221563 | PIMS-16933 | Head Contractor | 21 Nov 2025 | 59342780.20 | Development Victoria | Construction Contracts | Building and Facility Construction and Maintenance Services | BUILT ENVIRONS | 74008125111
227643 | CWFY2024S7585 | Belmont High School 2023/24 Capital Works | 19 Nov 2025 | 6443423.00 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
